Temperature,Meeting Friends/Family (Indoor) High ,Meeting Friends/Family (Indoor) Moderate ,Meeting Friends/Family (Outdoor) High ,Meeting Friends/Family (Outdoor) Moderate ,Domestic Travel High ,Domestic Travel Moderate ,International Travel High ,International Travel Moderate ,Cafes and Restaurants High ,Cafes and Restaurants Moderate ,Pubs and Bars High ,Pubs and Bars Moderate ,Sports and Leisure High ,Sports and Leisure Moderate ,Hospitals/ Care and Nursing Home Visits High ,Hospitals/ Care and Nursing Home Visits Moderate ,Non-Essential Shops ,School Closure ,Rt<1
7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
5.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
5.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
6.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
5.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0
7.17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0
7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
5.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0
